# RBT-106 waves (PREREGISTRATION.md §7). Two arms per runner session side by side at WORKERS=2 (run_arm.sh's
# default), each arm with its own `DURABLE_WATCH_PID=<pid> scripts/durable.sh every 20 runs/RBT-106/ARM-SEED
# rbt-106-ARM-SEED` loop and its own final save after postrun.sh (README rules 1, 3 and 6). The two arms of one
# seed's pair are never in the same session. Platform: the cloud x86_64 image (run_arm.sh refuses any other).
#
# wave  session  arm A     arm B
0       0a       HU-801    HP-4
0       0b       HP-801    HU-4
# ---- the futility gate, after season 150 of HP-801 and HP-4 (all four arms keep running to 600):
# ----   held.py runs/RBT-106/HP-801 801 32 --season 150 > runs/RBT-106/HP-801/held-150.txt ; likewise HP-4.
# ----   Nothing else of any running arm is read. STOP (launch nothing more, either pair) if both read
# ----   AT OR BELOW NO-SELECTION; otherwise launch wave 1.
1       1a       HU-804    HP-805
1       1b       HU-805    HP-806
1       1c       HU-806    HP-807
1       1d       HU-807    HP-1
1       1e       HU-1      HP-2
1       1f       HU-2      HP-3
1       1g       HU-3      HP-7
1       1h       HU-7      HP-804
# ---- wave 2, the P pair (secondary; only if the coordinator rules it in, §3.4): P1 on the ten seeds. Its uniform
# ---- twin is RBT-104's S1 (read by postrun.sh S1 from ckpt/rbt-104-S1-SEED). Where RBT-104 has not run S1 on a
# ---- seed (its gate stopped it), S1 runs here, same command (tests/test_rbt106.py pins it), in the same wave.
2       2a       P1-801    P1-4
2       2b       P1-804    P1-805
2       2c       P1-806    P1-807
2       2d       P1-1      P1-2
2       2e       P1-3      P1-7
# 2f..2i (contingency, §7.3): S1-804 S1-805 | S1-806 S1-807 | S1-1 S1-2 | S1-3 S1-7
